FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
19,,1919,Person,1919-19,81.8,linens,,20070517130612,19190521,digitised,JA70003000,,1688575,818921.7235,4072.4735,,
19,,1919,Person,1919-19,122.4,linens,,20070517130616,19190522,digitised,JA70003000,,1688576,1224776.6995,5693.3651,,
192,,1919,Person,1919-192,125.5,linens,,20070517130613,19190709,digitised,JA70003000,,1688577,1255855.765,4339.017400000001,,
192,,1919,Person,1919-192,155.1,linens,,20070517130625,19190709,assumed_shape,JA70003000,,1688578,1551920.7363,6757.0960000000005,,
194,,1919,Person,1919-194,131.8,linens,,20070517130625,19190711,assumed_shape,JA70003000,,1688579,1318459.7023,4932.8602,,
197,,1919,Person,1919-197,57.4,linens,,20070517130623,19190727,assumed_shape,JA70003000,,1688580,574961.2519,3059.404,,
2,,1919,Person,1919-2,64.9,linens,,20070517130625,19190607,assumed_shape,JA70003000,,1688581,649573.0473,5134.5643,,
20,,1919,Person,1919-20,99.4,linens,,20070517130616,19190528,digitised,JA70003000,,1688582,994508.2997,3670.4636,,
20,,1919,Person,1919-20,151.4,linens,,20070517130622,19190621,digitised,JA70003000,,1688583,1514709.2783,5258.1447,,
201,,1919,Person,1919-201,326.1,linens,,20070517130623,19190727,assumed_shape,JA70003000,,1688584,3261631.0452,7342.751,,
21,,1919,Person,1919-21,90.8,linens,,20070517130621,19190622,digitised,JA70003000,,1688585,908970.9921,5282.2959,,
212,,1919,Person,1919-212,138,linens,,20070517130612,19190808,digitised,JA70003000,,1688586,1380510.1089,5600.285,,
215,,1919,Person,1919-215,53.2,linens,,20070517130613,19190810,digitised,JA70003000,,1688587,532794.9575,3488.2858,,
22,,1919,Person,1919-22,184.3,linens,,20070517130619,19190513,digitised,JA70003000,,1688588,1843471.7347,6428.6471,,
22,,1919,Person,1919-22,128.5,linens,,20070517130622,19190619,digitised,JA70003000,,1688589,1285600.1824,4593.2741000000005,,
239,,1919,Person,1919-239,118.60000000000001,linens,,20070517130626,19190822,assumed_shape,JA70003000,,1688590,1186445.6531,4471.8641,,
24,,1919,Person,1919-24,198.9,linens,,20070517130618,19190418,digitised,JA70003000,,1688591,1989055.9027,10458.9134,,
242,,1919,Person,1919-242,51,linens,,20070517130624,19190716,assumed_shape,JA70003000,,1688592,510440.5721,3145.3868,,
245,,1919,Person,1919-245,59.800000000000004,linens,,20070517130623,19190828,assumed_shape,JA70003000,,1688593,598055.8125,3076.0317,,
254a,,1919,Person,1919-254a,21.900000000000002,linens,,20070517130613,19190728,digitised,JA70003000,,1688594,219173.4518,1817.1527,,
25c,,1919,Person,1919-25c,131.7,linens,,20070517130617,19190525,digitised,JA70003000,,1688595,1317072.1771,4430.6338000000005,,
268,,1919,Person,1919-268,10.4,linens,,20070517130613,19190823,digitised,JA70003000,,1688596,104252.98819999999,1240.4514000000001,,
27,,1919,Person,1919-27,716.1,linens,,20070517130616,19190606,digitised,JA70003000,,1688597,7161460.2567,11619.4899,,
27,,1919,Person,1919-27,173.20000000000002,linens,,20070517130616,19190606,digitised,JA70003000,,1688598,1732821.0039,7310.4197,,
27,,1919,Person,1919-27,610.5,linens,,20070517130649,19190721,assumed_shape,JA70003000,,1688599,6105724.9638,13443.9693,,
29a,,1917,Person,1917-29a,368.7,linens,,20070517130619,19170721,digitised,JA70003000,,1688527,3687044.3812,11885.5132,,
3,,1918,Person,1918-3,87.60000000000001,linens,,20070517130618,19180509,digitised,JA70003000,,1688528,876990.8126,4242.3611,,
367a,,1918,Person,1918-367a,69.2,linens,,20070517130624,19180628,assumed_shape,JA70003000,,1688529,692053.0258,3489.4806000000003,,
398,,1918,Person,1918-398,64.7,linens,,20070517130613,19180923,digitised,JA70003000,,1688530,647224.931,5795.888,,
1,,1919,Person,1919-1,41.800000000000004,linens,,20070517130616,19190426,digitised,JA70003000,,1688531,418278.4296,2904.871,,
1,,1919,Person,1919-1,177.6,linens,,20070517130618,19190605,digitised,JA70003000,,1688532,1776136.0076,9225.8502,,
10,,1919,Person,1919-10,100.5,linens,,20070517130619,19190522,digitised,JA70003000,,1688533,1005611.5434,4100.3285000000005,,
100,,1919,Person,1919-100,30.5,linens,,20070517130610,19190726,digitised,JA70003000,,1688534,305258.4195,2233.9435000000003,,
102,,1919,Lightning,1919-102,872.2,linens,,20070517130614,19190818,digitised,JA70003000,,1688535,8722849.8376,15326.2936,,
105,,1919,Person,1919-105,121.7,linens,,20070517130620,19190730,digitised,JA70003000,,1688536,1217534.1867,5034.5335000000005,,
106,,1919,Lightning,1919-106,760.3000000000001,linens,,20070517130623,19190731,assumed_shape,JA70003000,,1688537,7603030.4259,12007.9969,,
106a,,1919,Person,1919-106a,1499.4,linens,,20070517130616,19190827,digitised,JA70003000,,1688538,14994051.8996,18638.135000000002,,
107,,1919,Lightning,1919-107,597.8000000000001,linens,,20070517130622,19190816,digitised,JA70003000,,1688539,5978017.4502,11378.2063,,
109,,1919,Lightning,1919-109,55.6,linens,,20070517130625,19190908,assumed_shape,JA70003000,,1688540,556818.5386,2712.1349,,
11,,1919,Person,1919-11,67.6,linens,,20070517130616,19190617,digitised,JA70003000,,1688541,676084.7833,3021.7439,,
110,,1919,Person,1919-110,659.4,linens,,20070517130621,19190818,digitised,JA70003000,,1688542,6594343.9188,12552.2741,,
110a,,1919,Lightning,1919-110a,3787.2000000000003,linens,,20070517130623,19190720,digitised,JA70003000,,1688543,37872666.0434,25660.314,,
111,,1919,Person,1919-111,87.8,linens,,20070517130624,19190726,assumed_shape,JA70003000,,1688544,878458.5986,4407.0809,,
