,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V81229,20090801.0538,Person,Nuisance Fire,49.6422,-125.0558,0.0
V10028,20130517.2111,Person,Nuisance Fire,49.12110000000001,-121.5917,0.0
V10055,20110522.151,Person,Nuisance Fire,49.07720000000001,-121.7078,0.0
V70761,20081005.1041,Person,Nuisance Fire,49.3412,-124.4209,0.0
V60046,20040429.1739,Unknown,Nuisance Fire,48.7833,-123.95,0.0
V10197,20150621.1504,Person,Nuisance Fire,49.10290000000001,-121.1568,0.0
V50968,20110911.1411,Person,Nuisance Fire,49.919,-124.3805,0.0
V60088,20030619.1657,Person,Nuisance Fire,48.88330000000001,-124.2333,0.0
R20041,20090511.1149,Person,Nuisance Fire,54.21100000000001,-126.5838,0.0
V11276,20100912.1526,Person,Nuisance Fire,50.0127,-121.6799,0.0
V10312,20100704.1818,Person,Nuisance Fire,49.0759,-121.7324,0.0
V50566,20140928.1448,Person,Nuisance Fire,49.60120000000001,-123.9894,0.0
V50447,20100717.1713,Person,Nuisance Fire,49.82570000000001,-124.2912,0.0
V70482,20151011.0731,Person,Nuisance Fire,49.15490000000001,-124.0368,0.0
V60540,20080817.1147,Lightning,Nuisance Fire,48.48280000000001,-123.8243,0.0
V60137,20100603.1256,Person,Nuisance Fire,48.5092,-123.4672,0.0
G90455,20130911.1817,Person,Nuisance Fire,58.747,-121.4628,0.0
V60942,20110909.063,Person,Nuisance Fire,48.463,-123.4716,0.0
V70533,20090701.134,Person,Nuisance Fire,49.21,-124.81,0.0
V10252,20130721.1449,Person,Nuisance Fire,49.1041,-121.6512,0.0
V10555,20110807.1444,Person,Nuisance Fire,49.5718,-121.8134,0.0
V60725,20090715.1414,Person,Nuisance Fire,48.5369,-123.4783,0.0
V30424,20070901.1528,Person,Nuisance Fire,49.81780000000001,-123.1295,0.0
V10412,20080802.1914,Person,Nuisance Fire,49.5385,-121.9169,0.0
V50258,20090607.1145,Person,Nuisance Fire,49.74910000000001,-124.2813,0.0
G90382,20040724.1954,Lightning,Duplicate,59.3333,-121.807,0.0
V10169,20160702.1836,Person,Nuisance Fire,49.6863,-121.7426,0.0
V70002,20080407.1352,Person,Nuisance Fire,49.24930000000001,-124.0397,0.0
V10149,20110611.2143,Person,Nuisance Fire,49.43380000000001,-121.3049,0.0
V51864,20091011.1427,Person,Nuisance Fire,49.99800000000001,-124.7213,0.0
V10259,20090607.1308,Person,Nuisance Fire,50.0037,-121.7331,0.0
V31776,20090913.1858,Person,Nuisance Fire,49.9349,-123.3039,0.0
N40371,20080727.1615,Lightning,Nuisance Fire,51.1833,-116.8833,0.0
V30258,20080710.1538,Person,Nuisance Fire,50.5441,-122.45299999999999,0.0
G10191,20000705.132,Person,Smoke Chase,54.3689,-122.6184,0.0
V70123,20120710.0925,Person,Nuisance Fire,49.1052,-124.006,0.0
V11072,20180708.1307,Person,Nuisance Fire,49.4394,-121.7775,0.0
V10131,20150606.1335,Person,Nuisance Fire,49.041,-122.0364,0.0
VA0504,20130807.1543,Unknown,Duplicate,52.66860000000001,-126.9655,0.0
N20040,20000529.1815,Person,Nuisance Fire,50.3308,-115.8833,0.0
V60261,20100702.2042,Person,Nuisance Fire,48.919,-123.4274,0.0
N20029,20000521.1656,Person,Nuisance Fire,50.5167,-116.0333,0.0
V10658,20110818.1303,Person,Nuisance Fire,49.4761,-121.243,0.0
