FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
C30085,20150523.1705,Lightning,Fire,52.2711,-121.5118,3.6
K71366,20170726.122,Person,Fire,50.3299,-121.3953,30.0
N20709,20000811.14,Person,Fire,49.8731,-115.6792,3.5
G90279,20100711.1942,Lightning,Fire,58.8575,-121.9688,4.7
G40080,20000514.17,Person,Fire,53.92,-124.0817,25.0
G90336,20040717.131,Lightning,Fire,59.24100000000001,-121.8032,6.0
N71691,20170812.16,Lightning,Fire,49.6232,-117.1715,80.0
C10379,20090728.14,Person,Fire,52.70350000000001,-122.2369,4.7
V90753,20050314.1,Person,Fire,50.67180000000001,-127.5649,3.6
G10104,20150521.1906,Lightning,Fire,54.94,-122.2528,6.1000000000000005
N41973,20170831.0715,Lightning,Fire,51.2515,-117.8492,4.1
C20096,20150611.173,Person,Fire,51.9332,-122.5073,2.0
C10066,20140702.1915,Lightning,Fire,52.9683,-121.0498,10.0
C52210,20170928.1455,Person,Fire,52.5749,-125.4154,45.0
R10008,20020428.143,Person,Fire,53.935,-125.655,11.8
G90302,20040709.1719,Lightning,Fire,59.13800000000001,-121.126,4.0
G30035,20160418.1301,Person,Fire,53.22770000000001,-119.9991,3.5
C50099,20160716.1557,Lightning,Fire,51.3677,-124.906,30.0
C40057,20060515.12,Person,Fire,51.7787,-120.975,3.4
G90186,20100624.1733,Lightning,Fire,59.5602,-120.64399999999999,7.6
R20214,20100811.15,Lightning,Fire,54.1954,-127.1904,659.0
K50351,20120727.1849,Lightning,Fire,49.97360000000001,-119.4996,27.0
G30777,20180621.1606,Lightning,Fire,52.6905,-118.5123,50.0
R40164,20040624.18,Lightning,Fire,55.69600000000001,-127.9609,3.0
G70067,20160418.163,Person,Fire,56.0994,-120.6907,897.0
K30140,20030707.13,Person,Fire,50.7612,-119.7254,2.44
K20312,20150706.1721,Lightning,Fire,51.0901,-120.5062,2.4
R90044,20100608.1451,Lightning,Fire,58.216800000000006,-131.9259,28000.0
C40250,20130803.1511,Lightning,Fire,51.2413,-121.3502,12.2
G80139,20111024.15,Person,Fire,56.2032,-121.4882,50.0
G70051,20000430.13,Person,Fire,55.46250000000001,-121.3962,2.0
G70464,20030911.133,Person,Fire,55.7837,-120.9953,2.5
K50064,20020606.16,Person,Fire,49.6514,-119.6925,2.0
G80036,20000425.12,Person,Fire,56.3967,-121.1358,4.0
G80260,20190408.13245,Person,Fire,56.4451,-121.6629,300.0
C20450,20090731.2054,Lightning,Fire,51.5759,-123.0251,30.0
K62690,20180811.0556,Lightning,Fire,49.1829,-120.3105,13626.0
C41854,20180731.1825,Lightning,Fire,52.1146,-120.6307,45.0
R92725,20180729.2101,Lightning,Fire,59.48840000000001,-129.4953,2514.0
K20675,20170707.1602,Lightning,Fire,51.3971,-120.2542,556.0
R30015,20150511.2,Unknown,Fire,54.7081,-127.0678,3.4
K10413,20040724.2053,Lightning,Fire,52.4833,-120.1633,360.0
N20658,20030731.18,Lightning,Fire,50.5517,-115.2818,209.0
N20587,20170701.1925,Lightning,Fire,50.15300000000001,-115.6637,4.4
K20200,20060629.15,Person,Fire,50.7542,-120.5876,2.46
C41844,20180731.1817,Lightning,Fire,52.0337,-120.6839,407.0
C31606,20180730.005,Lightning,Fire,52.6546,-121.9325,16.0
R10009,20030426.172,Person,Fire,54.40150000000001,-126.0273,2.0
G40158,20020615.1705,Lightning,Fire,53.3667,-124.4833,250.0
C30141,20150629.18,Lightning,Fire,52.4362,-120.8233,2.5
N70177,20040710.1011,Lightning,Fire,50.42180000000001,-116.7318,125.0
K21852,20200320.125612,Person,Fire,50.5754,-121.3,5.9
G30242,20020712.1,Lightning,Fire,53.108700000000006,-120.7177,35.0
N60032,20010505.21,Person,Fire,49.0169,-118.34899999999999,3.9
G62717,20180817.074752,Lightning,Fire,56.1406,-125.6552,600.0
V52370,20180807.1801,Lightning,Fire,50.88010000000001,-124.6866,1100.0
V11851,20091008.083,Person,Fire,49.3189,-121.8634,3.6
C10173,20100727.2005,Lightning,Fire,53.27500000000001,-123.5783,1509.0
R10582,20180620.1312,Lightning,Fire,54.2424,-126.2667,94.0
R10112,20150614.1751,Lightning,Fire,53.5821,-126.7233,437.0
V31388,20090801.19,Lightning,Fire,49.95030000000001,-122.3208,2.0
G40047,20040423.13,Person,Fire,53.9862,-124.5055,2.7
N10106,20090612.16,Person,Fire,49.5365,-115.6375,20.1
G10527,20040929.12,Person,Fire,53.33450000000001,-122.0848,20.0
K41008,20080722.1443,Person,Fire,50.1565,-118.8018,10.0
K70493,20170327.16,Person,Fire,50.58640000000001,-121.8495,2.6
G80162,20030624.12,Lightning,Fire,57.266999999999996,-121.0,3.5
K70283,20100728.163,Unknown,Fire,50.5338,-122.1428,2.0
N41887,20180731.2147,Lightning,Fire,52.12280000000001,-118.2136,63.0
