,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
V81229,20090801.0538,Person,Nuisance Fire,49.6422,-125.0558,0.0,60.7,85.4,73.4,58.7,60.84,86.1,14.0,20.8,195.75,,0.0,19.7,26.5,1013.8,"['""""', '49.6422', '-125.0558', '""49.6422', ' -125.0558""', '""49.6422', ' -125.0558""', '""""', '""Partially cloudy""\n']"
V10028,20130517.2111,Person,Nuisance Fire,49.12110000000001,-121.5917,0.0,51.4,61.5,55.3,51.5,87.42,,9.7,19.5,222.75,,0.15,186.2,7.9,1016.3,"['""Mist', ' Light Rain""', '49.12110000000001', '-121.5917', '""49.12110000000001', ' -121.5917""', '""49.12110000000001', ' -121.5917""', '""""', '""Rain""\n']"
V10055,20110522.151,Person,Nuisance Fire,49.07720000000001,-121.7078,0.0,46.5,57.0,51.9,47.4,84.98,,6.2,24.2,184.33,,0.18,9.1,27.0,1017.4,"['""Light Rain""', '49.07720000000001', '-121.7078', '""49.07720000000001', ' -121.7078""', '""49.07720000000001', ' -121.7078""', '""""', '""Rain', ' Partially cloudy""\n']"
V70761,20081005.1041,Person,Nuisance Fire,49.3412,-124.4209,0.0,40.0,54.5,44.4,45.9,97.08,,6.9,,171.75,38.3,0.18,,0.0,1014.6,"['""""', '49.3412', '-124.4209', '""49.3412', ' -124.4209""', '""49.3412', ' -124.4209""', '""""', '""Rain""\n']"
V60046,20040429.1739,Unknown,Nuisance Fire,48.7833,-123.95,0.0,49.9,64.4,56.6,45.4,67.17,,9.7,,196.83,48.7,0.0,,0.0,1016.6,"['""""', '48.7833', '-123.95', '""48.7833', ' -123.95""', '""48.7833', ' -123.95""', '""""', '""Clear""\n']"
V10197,20150621.1504,Person,Nuisance Fire,49.10290000000001,-121.1568,0.0,50.3,80.6,65.4,43.4,49.43,79.0,9.5,21.4,182.54,,0.0,215.8,0.9,1013.9,"['""""', '49.10290000000001', '-121.1568', '""49.10290000000001', ' -121.1568""', '""49.10290000000001', ' -121.1568""', '""""', '""Clear""\n']"
V50968,20110911.1411,Person,Nuisance Fire,49.919,-124.3805,0.0,56.7,77.9,66.5,54.6,67.41,,9.2,24.2,231.33,,0.0,19.8,19.8,1012.1,"['""""', '49.919', '-124.3805', '""49.919', ' -124.3805""', '""49.919', ' -124.3805""', '""""', '""Clear""\n']"
V60088,20030619.1657,Person,Nuisance Fire,48.88330000000001,-124.2333,0.0,51.4,61.0,57.2,49.7,76.3,,23.3,,240.21,,0.0,,0.0,1009.9,"['""""', '48.88330000000001', '-124.2333', '""48.88330000000001', ' -124.2333""', '""48.88330000000001', ' -124.2333""', '""""', '""Clear""\n']"
R20041,20090511.1149,Person,Nuisance Fire,54.21100000000001,-126.5838,0.0,37.3,49.9,43.9,34.3,69.99,,11.4,20.8,296.5,34.3,0.09,17.9,17.9,1007.2,"['""Precipitation In Vicinity', ' Rain Showers""', '54.21100000000001', '-126.5838', '""54.21100000000001', ' -126.5838""', '""54.21100000000001', ' -126.5838""', '""""', '""Rain""\n']"
V11276,20100912.1526,Person,Nuisance Fire,50.0127,-121.6799,0.0,51.9,59.0,55.8,51.0,84.12,,10.0,34.5,176.83,,0.64,8.5,66.2,1018.3,"['""Drizzle', ' Light Drizzle', ' Light Rain""', '50.0127', '-121.6799', '""50.0127', ' -121.6799""', '""50.0127', ' -121.6799""', '""""', '""Rain', ' Partially cloudy""\n']"
V10312,20100704.1818,Person,Nuisance Fire,49.0759,-121.7324,0.0,54.8,60.4,57.7,51.8,80.66,,8.7,23.0,182.75,,0.0,9.2,28.4,1020.7,"['""Light Rain""', '49.0759', '-121.7324', '""49.0759', ' -121.7324""', '""49.0759', ' -121.7324""', '""""', '""Partially cloudy""\n']"
V50566,20140928.1448,Person,Nuisance Fire,49.60120000000001,-123.9894,0.0,51.6,63.1,56.8,52.5,86.01,,6.6,19.5,155.5,,0.03,629.6,0.0,1013.4,"['""""', '49.60120000000001', '-123.9894', '""49.60120000000001', ' -123.9894""', '""49.60120000000001', ' -123.9894""', '""""', '""Rain""\n']"
V50447,20100717.1713,Person,Nuisance Fire,49.82570000000001,-124.2912,0.0,54.2,73.7,63.5,52.2,67.74,,7.6,,182.83,,0.0,,0.0,1019.4,"['""""', '49.82570000000001', '-124.2912', '""49.82570000000001', ' -124.2912""', '""49.82570000000001', ' -124.2912""', '""""', '""Clear""\n']"
