SIZE_HA,IGN_DATE,LATITUDE,LONGITUDE,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure
0,20090801.05,49.6422,-125.0558,60.7,85.4,73.4,58.7,60.84,86.1,14,20.8,195.75,,0,19.7,26.5,1013.8
0,20130517.21,49.1211,-121.5917,51.4,61.5,55.3,51.5,87.42,,9.7,19.5,222.75,,0.15,186.2,7.9,1016.3
0,20110522.15,49.0772,-121.7078,46.5,57,51.9,47.4,84.98,,6.2,24.2,184.33,,0.18,9.1,27,1017.4
0,20081005.1,49.3412,-124.4209,40,54.5,44.4,45.9,97.08,,6.9,,171.75,38.3,0.18,,0,1014.6
0,20040429.17,48.7833,-123.95,49.9,64.4,56.6,45.4,67.17,,9.7,,196.83,48.7,0,,0,1016.6
0,20150621.15,49.1029,-121.1568,50.3,80.6,65.4,43.4,49.43,79,9.5,21.4,182.54,,0,215.8,0.9,1013.9
0,20110911.14,49.919,-124.3805,56.7,77.9,66.5,54.6,67.41,,9.2,24.2,231.33,,0,19.8,19.8,1012.1
0,20030619.17,48.8833,-124.2333,51.4,61,57.2,49.7,76.3,,23.3,,240.21,,0,,0,1009.9
0,20090511.11,54.211,-126.5838,37.3,49.9,43.9,34.3,69.99,,11.4,20.8,296.5,34.3,0.09,17.9,17.9,1007.2
0,20100912.15,50.0127,-121.6799,51.9,59,55.8,51,84.12,,10,34.5,176.83,,0.64,8.5,66.2,1018.3
0,20100704.18,49.0759,-121.7324,54.8,60.4,57.7,51.8,80.66,,8.7,23,182.75,,0,9.2,28.4,1020.7
0,20140928.14,49.6012,-123.9894,51.6,63.1,56.8,52.5,86.01,,6.6,19.5,155.5,,0.03,629.6,0,1013.4
0,20100717.17,49.8257,-124.2912,54.2,73.7,63.5,52.2,67.74,,7.6,,182.83,,0,,0,1019.4
0,20151011.07,49.1549,-124.0368,50.9,55.3,54.1,49.2,83.57,,18.1,25.3,142.04,,0.01,633.1,0,1018.6
0,20080817.11,48.4828,-123.8243,54.5,71.1,61.7,55.4,80.46,,10.6,27.7,186.17,,0.01,,0,
0,20100603.13,48.5092,-123.4672,48.5,57,52.1,45.9,80.41,,6.4,,207.04,47,0.07,,0,1009.6
0,20130911.18,58.747,-121.4628,46.4,78.4,60.8,50.2,71.61,,8.1,,148.81,44.2,0,23.5,27.6,1015.6
0,20110909.06,48.463,-123.4716,53,67.6,59.6,55.4,86.41,,7.6,,183.88,,0,,0,1019.8
0,20090701.13,49.21,-124.81,44,76.9,61.1,43.3,57.85,,7.2,29.9,243.46,41.4,0,19.7,1.4,1019.6
0,20130721.14,49.1041,-121.6512,55.4,78.5,67.6,56.9,70.87,,7.9,20.8,229.63,,0,159.1,3.1,1013.2
0,20110807.14,49.5718,-121.8134,58.9,77.6,67.5,56.6,70.24,,9.6,25.8,197.92,,0.04,8.7,12.2,1015.2
0,20090715.14,48.5369,-123.4783,51.9,65,57,52,84.02,,10.4,19.7,225.21,,0,8,1.4,1019.9
0,20070901.15,49.8178,-123.1295,50.2,69.6,59.3,52.3,79.76,,6.5,,,,0.02,,0,1014.6
0,20080802.19,49.5385,-121.9169,52.4,67.9,59.9,55.7,86.77,,7.6,23.4,210.13,,0.16,8.6,22.7,1017.8
0,20090607.11,49.7491,-124.2813,56.4,68.1,61.2,51.6,71.4,,9.3,,125.08,,0,,0,1011.5
0,20040724.2,59.3333,-121.807,58.4,89.7,70.8,56.2,66.76,86.3,17.2,,215.63,,0.14,16.1,79.1,1010
0,20160702.18,49.6863,-121.7426,59.1,76.3,69,54.1,60.01,,15.2,30.3,241.04,,0.01,134.6,21.4,1014
0,20080407.14,49.2493,-124.0397,38.3,46.6,42.4,37.8,83.77,,11.2,,97.5,34.7,0.57,,0,1016.6
0,20110611.21,49.4338,-121.3049,51,63,57.8,47.7,69.92,,12.8,24.4,235.17,,0,8.7,80.1,1012.7
0,20091011.14,49.998,-124.7213,40.4,52.1,46.7,35.7,66.95,,9.7,20.8,144.88,38.6,0,19.7,56.6,1012
0,20090607.13,50.0037,-121.7331,57.2,80.1,68.9,45.8,46.5,79,27.3,37.8,207.08,,0,8.7,8.7,1008.3
0,20090913.19,49.9349,-123.3039,53.2,79.1,64.2,52.6,70.29,,5.7,,157.46,,0,,0,1003.1
0,20080727.16,51.1833,-116.8833,51.9,68.1,62.2,55.6,80.3,,11.4,,211.3,,0.02,26.8,87.2,1010.5
0,20080710.15,50.5441,-122.453,43.7,69.4,56.9,37.7,53.83,,10.3,33.4,203.82,,0.26,8.5,1.3,1018.9
0,20000705.13,54.3689,-122.6184,53.7,64.5,58.2,51.7,80.19,,8.1,,150,,0.23,23.9,88.7,1012.7
0,20120710.09,49.1052,-124.006,59.8,69.6,64.1,58.7,82.98,,11.1,,135.5,,0,,0,1018.3
0,20180708.13,49.4394,-121.7775,55.5,77.7,66.7,55.4,69.4,,8.1,21.9,171.21,,0,154.9,4.8,1017.7
0,20150606.13,49.041,-122.0364,56.3,81.2,69,56.2,66.57,81,6.7,,212.79,,0,126.9,0,1016
0,20130807.15,52.6686,-126.9655,57.4,80.5,67.6,56.8,70.99,80.3,14,21.9,250.5,,0,110.9,20.1,1015.7
0,20000529.18,50.3308,-115.8833,41.1,59.6,49.7,38.6,68,,17.2,,176.43,37.2,0,24.9,62.6,1017.6
0,20100702.2,48.919,-123.4274,55.2,64.9,58.8,49.7,72.4,,12.5,,259.5,,0.02,9.8,19.2,
0,20000521.17,50.5167,-116.0333,38,38.9,38.5,31.5,76.14,,68.9,,236.67,22.2,0,,0,
0,20110818.13,49.4761,-121.243,51.4,74.1,61.7,48,63.18,,8.5,21.4,197.83,,0,8.7,7,1020
0,20121007.16,54.7646,-127.108,32,60.6,42.7,40.2,92.2,,9.2,,158.24,37,0,8.5,34.9,1021
0,20080812.14,50.5272,-115.9979,41.1,53.7,48.2,32.2,54.54,,25.3,41.4,237.39,34.9,0,,0,
0,20110828.2,50.3509,-122.7293,50.2,89.3,65.6,51.2,67.9,86.5,4.5,,123.29,,0,,0,1012.3
0,20110703.19,49.5986,-121.7621,51.6,70.7,59.9,50,71.94,,12,32.6,171.71,,0.32,8.4,28.4,1018.6
0,20120816.12,52.4041,-126.4666,50.2,85.8,69.2,55.2,65.37,84,15,24.2,141.5,,0,14.9,4.5,1015.2
0,20110905.16,49.6556,-124.465,52.5,73.8,63.1,53.2,72.22,,12.8,20.8,135.5,,0,,0,1014.7
0,20070605.18,49.9125,-125.1752,48.4,62.3,55.6,46.7,74.19,,12.7,,,,0.26,16,92.9,1009.9
0,20070809.16,49.6093,-121.0464,53.8,66.7,60,50.5,71.87,,9.9,25.3,,,0,8.7,29.6,1016.5
0,20190626.14,54.4341,-122.8157,46.1,73.3,58.5,47.3,69.42,,14.6,23,189.08,43.7,0,76.6,8.5,1014.3
0,20180520.13,49.9109,-123.322,50.4,65.1,55.6,50.7,84.67,,6.7,19.5,177.83,,0.13,631.6,0,1016.4
0,20180816.18,50.1446,-126.7144,49.4,61.8,56,49.2,78.35,,24.1,33.3,288.71,44.4,0,14.9,19.4,1021.2
0,20010702.12,50.1868,-122.8749,47.5,82.5,66.3,48.8,59.71,80.8,10.9,,208.46,,0,14.9,8.2,1020.6
0,20160523.11,49.0774,-121.7693,52.5,58.3,55.1,51.2,87.03,,5.1,,176.21,,0.03,191.3,11.4,1013.5
0,20130804.12,49.6682,-124.9853,57.1,77.1,66.8,54.5,65.46,,15.2,20.1,229.17,,0,31.3,18.1,1016.3
0,20160801.16,49.1391,-121.9995,58.8,78.5,67.7,54,63.27,,8.7,28.9,171,,0.12,196.5,2.8,1016.3
0,20110828.15,49.1064,-121.639,55.3,81.3,67.6,58,73.74,82.5,7.5,23,188.75,,0,8.3,1.2,1013.2
0,20140519.19,49.0759,-121.7176,54.7,66,59.2,52.2,78.8,,5.4,19.5,178.92,,0,166,7.7,1017.1
0,20150717.19,48.9395,-125.5174,55.2,85.8,64.5,52.9,69.39,82.7,7.2,,205.83,,0,103.3,21.5,1018.1
0,20110619.16,49.0361,-121.071,51.5,58.9,55.5,50.4,83.26,,8.3,24.4,234.5,,0.41,8.1,34.8,1016.4
0,20090726.21,49.613,-124.0302,64.9,80.4,72.5,62.7,72.48,81.7,6.3,,174.83,,0,,0,1018.7
