FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
C30085,20150523.1705,Lightning,Fire,52.2711,-121.5118,3.6,49.6,69.8,57.5,48.0,74.62,,13.9,24.2,235.0,49.4,0.2,12.8,51.0,1019.8,"['""Mist', ' Rain Showers', ' Light Rain""', '52.2711', '-121.5118', '""52.2711', ' -121.5118""', '""52.2711', ' -121.5118""', '""""', '""Rain', ' Partially cloudy""\n']"
K71366,20170726.122,Person,Fire,50.3299,-121.3953,30.0,68.9,93.4,80.2,47.3,33.29,89.4,19.0,34.7,206.96,,0.0,119.0,2.4,1012.3,"['""""', '50.3299', '-121.3953', '""50.3299', ' -121.3953""', '""50.3299', ' -121.3953""', '""""', '""Clear""\n']"
N20709,20000811.14,Person,Fire,49.8731,-115.6792,3.5,48.3,76.8,64.0,43.0,49.42,,16.5,,188.96,46.7,0.06,23.0,24.4,1014.3,"['""Rain Showers', ' Light Rain', ' Sky Coverage Decreasing""', '49.8731', '-115.6792', '""49.8731', ' -115.6792""', '""49.8731', ' -115.6792""', '""""', '""Rain""\n']"
G90279,20100711.1942,Lightning,Fire,58.8575,-121.9688,4.7,55.4,80.6,64.1,45.5,52.32,79.9,17.2,40.3,203.5,,0.3,26.1,87.4,996.5,"['""Precipitation In Vicinity', ' Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers', ' Sky Coverage Increasing""', '58.8575', '-121.9688', '""58.8575', ' -121.9688""', '""58.8575', ' -121.9688""', '""""', '""Rain', ' Overcast""\n']"
G40080,20000514.17,Person,Fire,53.92,-124.0817,25.0,32.6,55.1,41.4,19.7,44.83,,15.0,,100.45,25.5,0.18,8.2,24.4,1021.5,"['""Rain', ' Heavy Rain', ' Light Rain""', '53.92', '-124.0817', '""53.92', ' -124.0817""', '""53.92', ' -124.0817""', '""""', '""Rain""\n']"
G90336,20040717.130999997,Lightning,Fire,59.24100000000001,-121.8032,6.0,60.5,86.1,70.8,56.5,66.68,84.3,13.9,,244.21,,0.0,16.9,82.2,1008.0,"['""Precipitation In Vicinity', ' Thunderstorm', ' Rain Showers', ' Fog', ' Sky Coverage Increasing""', '59.24100000000001', '-121.8032', '""59.24100000000001', ' -121.8032""', '""59.24100000000001', ' -121.8032""', '""""', '""Overcast""\n']"
N71691,20170812.16,Lightning,Fire,49.6232,-117.1715,80.0,61.4,91.8,74.8,51.6,48.17,89.6,16.0,27.7,155.0,,0.13,626.1,0.0,1007.5,"['""""', '49.6232', '-117.1715', '""49.6232', ' -117.1715""', '""49.6232', ' -117.1715""', '""""', '""Rain""\n']"
C10379,20090728.14,Person,Fire,52.70350000000001,-122.2369,4.7,56.0,92.2,75.4,51.9,47.37,89.5,15.4,23.0,293.5,,0.0,10.7,16.1,1017.3,"['""""', '52.70350000000001', '-122.2369', '""52.70350000000001', ' -122.2369""', '""52.70350000000001', ' -122.2369""', '""""', '""Clear""\n']"
V90753,20050314.1,Person,Fire,50.67180000000001,-127.5649,3.6,44.1,48.0,46.2,44.7,94.39,,22.3,28.7,288.04,38.7,0.0,,0.0,1021.7,"['""""', '50.67180000000001', '-127.5649', '""50.67180000000001', ' -127.5649""', '""50.67180000000001', ' -127.5649""', '""""', '""Clear""\n']"
G10104,20150521.1906,Lightning,Fire,54.94,-122.2528,6.1000000000000005,46.5,77.0,61.2,43.7,60.44,,12.1,17.2,256.36,47.2,0.02,8.6,26.9,1015.0,"['""Mist', ' Thunderstorm', ' Light Rain""', '54.94', '-122.2528', '""54.94', ' -122.2528""', '""54.94', ' -122.2528""', '""""', '""Rain', ' Partially cloudy""\n']"
